claim_id,policy_age_days,claim_amount,previous_claims,incident_severity,police_report,witness_present,policy_holder_age,policy_tenure_years,vehicle_age,fraud
CLM_000034,1230,6370.04,0,Moderate,0,1,52,0.4,0.9,0
CLM_000035,603,26133.11,0,Moderate,0,1,59,3.1,6.7,0
CLM_000036,62,12538.578607607194,3,Moderate,0,0,58,0.1,0.8,1
CLM_000037,37,617.4,1,Minor,0,1,36,1.4,8.9,0
CLM_000038,420,23013.68,1,Moderate,0,0,58,0.3,5.7,0
CLM_000039,211,34923.73,0,Moderate,0,0,60,0.0,2.4,0
CLM_000040,39,593245.2209255138,1,Moderate,0,1,49,9.7,2.2,1
CLM_000041,249,552.67,2,Minor,0,0,47,16.7,0.8,0
CLM_000042,74,9726.853242444588,1,Moderate,0,1,53,2.4,11.7,1
CLM_000043,876,131.22,0,Minor,0,0,52,0.8,0.6,0
CLM_000044,109,6834.4,1,Moderate,1,0,17,7.3,3.2,0
CLM_000045,51,3296.3644137321867,4,Total Loss,0,0,51,7.7,1.3,1
CLM_000046,136,53378.79,1,Moderate,0,0,62,5.8,28.0,0
CLM_000047,267,932.69,0,Minor,0,0,59,2.4,4.4,0
CLM_000048,20,467.10465803211264,4,Moderate,0,1,50,0.2,0.8,1
CLM_000049,74,1470.13,0,Severe,0,1,47,0.3,5.5,0
CLM_000050,1274,153.97,0,Severe,0,1,39,6.8,23.9,0
CLM_000051,544,9197.15,1,Moderate,0,1,43,6.3,4.6,0
CLM_000052,1023,134.61,1,Minor,1,0,55,1.7,3.1,0
CLM_000053,822,3110.96,0,Moderate,1,0,50,1.2,1.7,0
CLM_000054,332,132.06,0,Moderate,1,0,58,3.1,0.5,0
CLM_000055,930,1843.74,0,Total Loss,0,0,37,4.9,1.3,0
CLM_000056,33,35068.8,0,Moderate,0,1,61,3.9,4.0,0
CLM_000057,20,8682.475914990006,0,Moderate,1,0,35,2.9,7.0,1
CLM_000058,16,816.28,0,Moderate,0,0,48,0.8,10.5,0
CLM_000059,143,2844.65,0,Minor,0,0,36,0.9,7.9,0
CLM_000060,179,3062.62,0,Severe,0,0,43,3.9,0.7,0
CLM_000061,115,6056.85,0,Moderate,0,0,75,4.9,7.4,0
CLM_000062,644,383.64,0,Total Loss,1,1,52,0.4,4.4,0
CLM_000063,0,19561.58399239022,6,Moderate,0,0,48,0.6,3.2,1
CLM_000064,120,51.59,1,Minor,0,1,66,3.4,4.3,0
CLM_000065,0,3230.316046463652,7,Moderate,0,0,6,1.5,0.0,1
CLM_000066,55,1433.09,1,Minor,1,1,42,2.5,0.4,0
CLM_000067,591,7707.82,1,Minor,0,1,37,2.9,3.7,0
CLM_000068,28,3083.89,0,Minor,0,1,32,4.5,1.0,0
CLM_000069,1581,362.0,1,Severe,0,0,22,4.9,3.9,0
CLM_000070,540,680.28,0,Moderate,0,0,41,1.0,2.2,0
CLM_000071,80,4015.91,0,Minor,0,1,55,2.3,11.9,0
CLM_000072,2,2647.57,2,Moderate,1,0,42,0.4,14.9,0
CLM_000073,616,1250.52,1,Moderate,0,0,56,5.5,19.5,0
CLM_000074,447,1449.17,0,Total Loss,0,0,46,5.6,11.5,0
CLM_000075,476,8469.71,3,Moderate,0,1,62,1.1,21.3,0
CLM_000076,41,2625.538399382768,0,Severe,1,0,37,0.5,6.1,1
CLM_000077,28,2611.98,0,Minor,0,1,16,0.2,16.2,0
CLM_000078,24,164646.03980502454,3,Severe,0,0,21,2.6,5.1,1
CLM_000079,44,352.3,0,Severe,0,0,37,0.3,8.3,0
CLM_000080,725,185.35,2,Total Loss,0,0,31,3.4,0.7,0
CLM_000081,42,15671.469080835615,0,Minor,0,0,36,3.4,5.7,1
CLM_000082,146,1077.11,1,Moderate,0,0,62,2.9,13.4,0
CLM_000083,23,1849.45,1,Moderate,1,0,22,6.3,3.9,0
CLM_000084,135,923.59,0,Minor,1,0,67,1.4,1.0,0
CLM_000085,143,2018.88,1,Moderate,0,1,32,7.0,3.7,0
CLM_000086,477,32787.65,0,Total Loss,0,0,26,0.1,6.1,0
CLM_000087,370,9928.78,0,Moderate,0,0,42,0.4,7.3,0
CLM_000088,796,10865.36,2,Total Loss,1,0,67,1.6,3.7,0
CLM_000089,233,356.26,0,Minor,0,0,34,2.7,1.2,0
CLM_000090,89,976.4060488771042,4,Severe,0,0,35,0.1,13.1,1
CLM_000091,455,42.16,1,Moderate,0,0,36,2.5,7.4,0
CLM_000092,18,2346.4881520317417,4,Moderate,0,1,62,1.1,1.6,1
CLM_000093,300,12519.65,1,Total Loss,1,0,38,6.5,8.4,0
CLM_000094,537,6473.16,1,Minor,1,1,51,2.3,2.1,0
CLM_000095,248,2138.22,0,Severe,0,0,46,2.7,1.9,0
CLM_000096,269,2882.89,1,Moderate,0,1,43,8.7,9.9,0
CLM_000097,2,2172.077624291735,2,Minor,0,0,37,4.3,10.3,1
CLM_000098,9,4052.7,1,Total Loss,0,0,74,1.7,2.5,0
CLM_000099,29,22634.128239262423,3,Moderate,1,1,86,1.9,0.0,1
CLM_000100,11,264.06,1,Severe,0,0,31,3.1,1.0,0
CLM_000101,3,13640.6124045584,5,Minor,0,0,28,0.7,12.0,1
CLM_000102,137,12072.1,0,Severe,0,0,45,0.3,11.5,0
CLM_000103,259,1599.35,0,Moderate,0,1,10,1.1,3.0,0
CLM_000104,29,22047.456740791386,3,Minor,0,1,45,4.5,1.8,1
CLM_000105,104,203207.25,0,Moderate,0,1,75,0.9,1.8,0
CLM_000106,192,2549.07,0,Minor,0,1,36,0.4,11.4,0
CLM_000107,514,5377.4,0,Moderate,1,0,61,0.7,2.0,0
CLM_000108,22,2148.0642509015893,5,Minor,0,0,67,3.4,3.6,1
CLM_000109,29,3912.28,1,Minor,0,1,32,2.9,6.6,0
CLM_000110,124,5945.6,0,Minor,0,1,47,3.5,1.2,0
CLM_000111,64,3992.86,1,Moderate,0,0,50,1.2,1.5,0
CLM_000112,969,645.78,0,Moderate,0,1,55,6.9,2.2,0
CLM_000113,602,4062.45,0,Moderate,1,0,57,1.8,5.3,0
CLM_000114,366,26723.37,0,Minor,0,1,61,2.2,8.5,0
CLM_000115,748,5842.73,0,Moderate,0,1,33,8.9,4.0,0
CLM_000116,594,12619.28,1,Severe,0,1,47,11.6,0.7,0
CLM_000117,75,2089.09,1,Minor,0,0,67,3.3,3.0,0
CLM_000118,814,9180.62,0,Severe,1,0,68,8.7,0.7,0
CLM_000119,282,4531.92,0,Moderate,0,0,48,2.3,0.5,0
CLM_000120,601,715.97,2,Severe,1,0,37,1.1,4.5,0
CLM_000121,826,4806.77,0,Minor,0,1,60,1.1,15.6,0
CLM_000122,37,1380.849827137712,2,Minor,0,1,53,2.5,9.1,1
CLM_000123,42,1153.64,0,Severe,0,0,52,2.8,7.4,0
CLM_000124,94,3959.97,0,Severe,0,0,56,1.7,6.5,0
CLM_000125,203,4655.79,1,Minor,1,0,30,6.5,11.4,0
CLM_000126,621,500.77,1,Minor,0,0,57,1.7,7.0,0
CLM_000127,719,14486.59,0,Moderate,0,1,47,1.0,4.9,0
CLM_000128,2,7030.47,0,Moderate,0,1,62,0.0,2.3,0
CLM_000129,260,1035.78,1,Severe,0,1,45,10.6,0.5,0
CLM_000130,197,296.97,1,Minor,0,0,53,5.2,3.1,0
CLM_000131,12,4283.415005033283,2,Moderate,1,0,51,2.9,12.9,1
CLM_000132,46,1527.04,0,Minor,0,0,36,5.3,4.4,0
CLM_000133,150,3532.32,0,Minor,0,0,31,5.0,1.0,0
CLM_000134,1045,1729.05,1,Minor,0,1,57,8.1,5.2,0
CLM_000135,142,146.76,1,Severe,0,0,32,1.5,3.1,0
CLM_000136,266,1664.83,2,Moderate,1,0,39,2.4,13.4,0
CLM_000137,443,1884.79,1,Severe,0,1,39,0.3,0.9,0
CLM_000138,4,20314.185417004275,3,Minor,0,1,50,10.1,6.2,1
CLM_000139,1302,1045.97,2,Minor,0,0,55,12.6,5.7,0
CLM_000140,1197,36975.54,0,Minor,0,1,21,4.7,20.5,0
CLM_000141,105,169.45,1,Minor,0,0,34,1.8,4.2,0
CLM_000142,250,21306.15,0,Severe,0,1,33,2.1,10.3,0
CLM_000143,130,2129.24,1,Minor,0,0,41,1.7,0.1,0
CLM_000144,122,10822.44,0,Minor,0,0,15,1.0,0.7,0
CLM_000145,13,3360.02,0,Minor,0,0,62,2.3,2.1,0
CLM_000146,8,27483.499594790275,2,Minor,0,0,45,0.2,4.8,1
CLM_000147,34,2654.476629047605,5,Severe,0,0,42,14.4,3.0,1
CLM_000148,19,573.68,1,Moderate,0,1,56,1.7,1.1,0
CLM_000149,119,25103.35,1,Severe,0,0,52,7.9,4.4,0
CLM_000150,871,2514.37,1,Moderate,0,1,52,3.9,4.2,0
CLM_000151,99,4156.12,0,Minor,0,0,44,1.0,3.7,0
CLM_000152,57,18998.74,2,Minor,0,0,46,0.8,0.5,0
CLM_000153,245,634.01,1,Severe,0,1,57,16.3,13.1,0
CLM_000154,1549,7282.55,0,Severe,1,1,52,4.4,4.5,0
CLM_000155,101,1230.48,1,Minor,0,0,70,0.9,1.5,0
CLM_000156,407,2444.87,1,Minor,0,0,47,0.2,5.8,0
CLM_000157,19,5505.891606604937,3,Minor,0,1,54,3.6,1.9,1
CLM_000158,99,314.09,0,Minor,0,0,43,1.1,3.5,0
CLM_000159,475,926.81,0,Minor,0,0,49,0.8,2.1,0
CLM_000160,23,42172.60009387558,3,Minor,1,0,50,4.0,10.6,1
CLM_000161,365,11263.1,0,Moderate,0,0,38,3.4,25.6,0
CLM_000162,366,2713.62,0,Minor,0,0,35,2.0,0.9,0
CLM_000163,280,4292.76,0,Minor,0,1,54,8.6,0.1,0
CLM_000164,34,1917.23,1,Severe,0,0,51,3.4,1.2,0
CLM_000165,658,22808.19,1,Moderate,1,0,67,6.7,4.5,0
CLM_000166,141,2207.18,1,Total Loss,0,1,45,0.6,1.0,0
CLM_000167,75,4220.73,0,Minor,0,1,30,1.1,8.3,0
CLM_000168,15,16631.36,0,Moderate,0,0,45,0.3,2.6,0
CLM_000169,326,928.85,2,Minor,1,1,56,1.1,4.7,0
CLM_000170,413,30889.88,1,Moderate,0,1,13,10.7,3.0,0
CLM_000171,6,300.16,0,Minor,0,0,44,9.9,11.7,0
CLM_000172,261,34353.64,1,Minor,1,0,54,4.3,0.2,0
CLM_000173,93,1704.43,0,Total Loss,1,1,48,2.2,6.5,0
CLM_000174,11,5055.488721235398,3,Moderate,0,0,39,4.6,5.3,1
CLM_000175,69,175.03,0,Total Loss,0,0,26,2.4,5.2,0
CLM_000176,428,1506.9,2,Minor,0,1,44,0.0,2.7,0
CLM_000177,178,626.59,0,Minor,0,0,26,2.1,0.1,0
CLM_000178,54,3345.229048888094,2,Moderate,0,1,55,2.7,5.8,1
CLM_000179,225,7251.392039427716,1,Severe,1,0,45,0.9,8.8,1
CLM_000180,152,12540.11,3,Moderate,0,0,67,0.7,0.4,0
CLM_000181,43,4070.03,1,Total Loss,0,0,15,1.0,2.9,0
CLM_000182,943,4729.22,0,Minor,1,0,39,2.9,0.9,0
CLM_000183,765,576.35,0,Severe,0,1,56,0.5,4.7,0
CLM_000184,108,795.42,0,Minor,0,1,62,3.8,7.7,0
CLM_000185,393,44271.11,1,Minor,1,0,56,1.6,5.5,0
CLM_000186,620,989.5,0,Moderate,0,1,30,1.3,1.9,0
CLM_000187,295,35750.24,1,Moderate,0,0,37,4.9,0.8,0
CLM_000188,275,2070.22,1,Minor,0,0,11,2.1,7.9,0
CLM_000189,101,2991.21,0,Minor,0,0,45,1.4,2.0,0
CLM_000190,35,14846.92,1,Moderate,0,0,62,6.3,0.1,0
CLM_000191,830,20087.21,0,Moderate,0,1,45,1.4,4.2,0
CLM_000192,841,2524.46,0,Minor,0,0,53,5.9,1.4,0
CLM_000193,365,1665.09,0,Minor,0,0,53,2.1,9.2,0
CLM_000194,11,7119.282768605339,1,Minor,0,0,40,0.7,0.8,1
CLM_000195,156,4948.98,0,Total Loss,0,1,8,2.8,2.9,0
CLM_000196,472,11349.8,0,Total Loss,0,1,65,1.0,1.5,0
CLM_000197,38,5156.776602967745,3,Moderate,1,1,51,0.5,5.8,1
CLM_000198,796,7542.65,0,Total Loss,1,0,26,0.3,4.0,0
CLM_000199,552,34805.81,0,Moderate,0,0,50,0.8,7.8,0
CLM_000200,374,5281.49,2,Minor,0,0,48,4.0,3.1,0
CLM_000201,5,9118.039745772947,5,Minor,0,0,64,5.5,0.0,1
CLM_000202,64,305.4,0,Total Loss,0,1,52,5.9,1.2,0
CLM_000203,835,57.62,1,Moderate,1,0,52,0.9,35.4,0
CLM_000204,340,5337.77,0,Severe,1,0,47,3.2,2.6,0
CLM_000205,3,2585.73,0,Severe,0,0,33,0.8,4.8,0
CLM_000206,39,1377.23,2,Moderate,1,0,55,2.9,11.8,0
CLM_000207,397,4295.38,1,Minor,0,0,44,6.5,0.1,0
CLM_000208,1,2722.74,0,Minor,1,0,30,0.1,5.4,0
CLM_000209,63,16182.25,0,Minor,0,0,35,12.6,1.7,0
CLM_000210,290,3391.97,0,Minor,0,1,27,5.3,1.6,0
CLM_000211,429,972.25,0,Moderate,1,0,60,4.3,1.3,0
CLM_000212,385,13164.11,1,Minor,0,1,74,3.5,8.7,0
CLM_000213,92,2152.32,0,Minor,1,1,62,4.4,2.3,0
CLM_000214,454,6566.95,0,Moderate,0,1,50,15.7,0.3,0
CLM_000215,98,1456.63,0,Minor,0,0,44,4.4,0.5,0
CLM_000216,143,1124.69,1,Moderate,0,0,40,1.3,0.8,0
CLM_000217,500,3382.1,2,Moderate,0,1,30,2.9,11.5,0
CLM_000218,382,3038.88,0,Moderate,0,0,74,1.2,2.8,0
CLM_000219,690,6122.59,2,Total Loss,0,0,29,10.5,12.4,0
CLM_000220,391,1992.27,2,Minor,0,0,32,6.9,8.5,0
CLM_000221,306,189.7,0,Minor,1,1,42,2.5,9.1,0
CLM_000222,35,1557.5,1,Severe,0,1,43,4.6,1.7,0
CLM_000223,167,9805.78,0,Moderate,1,0,54,7.2,1.6,0
CLM_000224,112,1908.24,0,Severe,0,0,34,0.8,4.1,0
CLM_000225,102,2059.93,0,Minor,0,1,15,2.6,2.7,0
CLM_000226,1318,13089.49,0,Severe,0,0,41,2.0,3.6,0
CLM_000227,182,1024.58,1,Total Loss,1,0,42,4.4,0.3,0
CLM_000228,812,294.65,0,Moderate,0,0,41,1.4,17.8,0
CLM_000229,364,2342.69,0,Minor,0,1,41,3.7,0.3,0
CLM_000230,40,2448.368469255151,1,Severe,0,0,39,1.5,1.0,1
CLM_000231,254,699.69,0,Severe,0,0,25,0.4,5.7,0
CLM_000232,313,2291.43,0,Severe,1,0,66,0.3,0.8,0
CLM_000233,247,6230.79,0,Minor,0,1,66,0.4,0.6,0
CLM_000234,79,2939.71,0,Severe,0,1,65,0.1,0.8,0
CLM_000235,467,4724.29,0,Minor,0,0,27,2.3,0.3,0
CLM_000236,16,75729.70679757037,5,Minor,1,1,51,3.3,1.4,1
CLM_000237,8,1782.34,0,Moderate,1,0,38,0.4,1.6,0
CLM_000238,378,4525.68,1,Minor,1,0,37,2.8,3.5,0
CLM_000239,27,3265.853621461952,3,Moderate,1,1,31,2.7,2.9,1
CLM_000240,1029,837.53,0,Moderate,1,0,83,0.5,3.2,0
CLM_000241,1123,1239.72,2,Minor,0,0,41,1.6,4.8,0
CLM_000242,899,1453.69,0,Moderate,0,0,31,4.2,1.3,0
CLM_000243,168,5111.32,0,Total Loss,0,1,47,0.1,0.7,0
CLM_000244,5,101074.55,2,Minor,0,1,56,0.5,10.6,0
CLM_000245,8,2912.567137501638,2,Moderate,0,1,42,16.4,5.0,1
CLM_000246,57,4031.494097278701,2,Minor,0,0,48,4.0,0.3,1
CLM_000247,1241,2711.66,0,Moderate,0,1,60,1.9,16.2,0
CLM_000248,1209,5397.54,0,Minor,1,0,30,3.0,5.9,0
CLM_000249,699,4426.33,0,Minor,1,1,47,5.6,0.8,0
CLM_000250,127,20458.29,1,Minor,0,1,35,5.5,17.4,0
CLM_000251,177,78.29,1,Total Loss,0,0,33,1.2,2.3,0
CLM_000252,695,83.06,0,Moderate,0,0,71,2.0,20.8,0
CLM_000253,139,1416.84,1,Moderate,1,0,43,3.0,0.5,0
CLM_000254,67,15459.06,1,Minor,0,1,29,0.2,0.9,0
CLM_000255,297,284.73,0,Moderate,0,0,43,8.7,5.4,0
CLM_000256,1004,32.74,0,Minor,1,0,26,1.7,0.1,0
CLM_000257,434,7021.76,0,Minor,0,0,41,1.4,0.1,0
CLM_000258,308,4296.2,1,Moderate,0,0,34,7.1,7.9,0
CLM_000259,37,580.96,0,Minor,0,1,52,0.4,0.9,0
CLM_000260,348,679.73,0,Minor,0,0,74,0.1,12.6,0
CLM_000261,5,1879.9328254457405,2,Moderate,0,0,42,3.5,2.8,1
CLM_000262,55,3518.55,0,Severe,0,1,35,1.5,10.3,0
CLM_000263,266,1165.06,0,Minor,0,1,46,4.3,2.7,0
CLM_000264,765,6254.75,0,Minor,0,0,67,0.2,3.8,0
CLM_000265,492,41.18,0,Minor,0,0,52,1.5,1.9,0
CLM_000266,435,824.45,1,Total Loss,0,1,42,0.8,5.4,0
CLM_000267,442,550.55,0,Severe,0,0,14,4.0,1.9,0
CLM_000268,162,2029.39,1,Moderate,0,1,44,0.8,1.3,0
CLM_000269,126,1329.99,0,Total Loss,0,0,56,1.8,0.4,0
CLM_000270,604,9865.17,0,Moderate,0,0,59,5.1,0.3,0
CLM_000271,606,183.28,0,Total Loss,0,0,64,7.4,1.8,0
CLM_000272,736,3191.47,1,Minor,1,0,34,3.8,6.7,0
CLM_000273,892,6887.78,1,Minor,0,1,38,1.7,1.2,0
CLM_000274,261,48289.58,0,Moderate,1,1,43,2.5,1.8,0
CLM_000275,79,3273.663342296836,1,Minor,0,1,55,3.5,11.8,1
CLM_000276,584,4849.78,0,Moderate,1,1,41,6.2,5.1,0
CLM_000277,383,199.18,0,Minor,0,1,52,6.6,12.6,0
CLM_000278,441,82.44,2,Moderate,0,1,39,8.0,12.1,0
CLM_000279,579,10584.67,0,Minor,0,1,34,5.0,0.3,0
CLM_000280,805,2956.2,0,Minor,0,0,61,0.5,15.5,0
CLM_000281,150,17461.77,0,Total Loss,1,0,49,4.1,0.3,0
CLM_000282,171,379.9,0,Severe,0,1,56,5.1,13.0,0
CLM_000283,36,6501.92,0,Total Loss,0,1,41,6.3,4.0,0
CLM_000284,315,49179.24,2,Severe,1,1,57,7.8,3.8,0
CLM_000285,13,5594.61,0,Moderate,0,1,29,2.1,6.2,0
CLM_000286,228,4513.7,0,Moderate,0,0,31,3.2,10.6,0
CLM_000287,285,3019.46,3,Minor,0,1,59,0.0,4.8,0
CLM_000288,123,282.5,1,Minor,0,1,43,2.6,2.8,0
CLM_000289,1,50397.66971249815,0,Minor,0,0,41,1.9,0.6,1
CLM_000290,11,1192.39,0,Severe,0,1,31,9.8,7.8,0
CLM_000291,10,18464.043854734628,3,Minor,0,0,57,7.0,0.7,1
CLM_000292,631,285.84,1,Total Loss,0,1,72,4.8,6.5,0
CLM_000293,163,508.17,0,Moderate,0,1,54,0.2,3.8,0
CLM_000294,49,25658.52,0,Severe,0,0,38,1.5,2.4,0
CLM_000295,269,1770.55,0,Minor,0,0,65,3.6,4.7,0
CLM_000296,536,26368.18,0,Minor,0,0,50,0.1,7.4,0
CLM_000297,88,2650.9,0,Total Loss,1,0,38,0.8,14.2,0
CLM_000298,355,188.13,0,Minor,0,0,64,6.6,1.5,0
CLM_000299,32,11362.81,0,Minor,0,0,42,0.4,14.7,0
CLM_000300,19,1230.48,1,Minor,0,1,23,0.2,16.2,0
CLM_000301,276,8501.8,0,Minor,1,0,40,2.6,8.4,0
CLM_000302,283,3095.85,0,Minor,0,0,52,8.8,10.7,0
CLM_000303,370,294.51,1,Moderate,1,1,34,5.4,5.9,0
CLM_000304,472,3814.03,0,Moderate,1,1,16,11.0,0.2,0
CLM_000305,1359,80365.05,0,Moderate,1,1,67,4.2,4.3,0
CLM_000306,24,16129.599715644123,3,Minor,1,0,89,1.7,6.9,1
CLM_000307,58,5985.961851023488,1,Severe,0,0,37,8.8,14.2,1
CLM_000308,25,29899.552127113937,4,Severe,1,0,35,1.7,4.2,1
CLM_000309,115,4088.78,0,Minor,1,0,24,1.3,7.9,0
CLM_000310,7,6692.940892849993,3,Minor,0,1,32,1.8,6.1,1
CLM_000311,29,579.73,0,Minor,1,0,22,5.0,1.6,0
CLM_000312,58,11563.560157195152,4,Severe,0,1,25,7.5,0.8,1
CLM_000313,1199,14089.22,0,Severe,0,0,45,1.3,6.9,0
CLM_000314,659,850.57,1,Total Loss,0,0,21,1.9,1.3,0
CLM_000315,434,25254.1,0,Minor,0,0,22,6.9,1.4,0
CLM_000316,191,2597.85,0,Moderate,0,1,48,0.1,5.2,0
CLM_000317,69,787.09,0,Minor,0,0,35,4.6,7.8,0
CLM_000318,62,13312.36,0,Minor,1,0,50,1.8,4.4,0
CLM_000319,105,1938.77,0,Moderate,0,0,39,1.4,10.8,0
CLM_000320,290,9313.99,0,Minor,1,0,42,1.8,1.2,0
CLM_000321,457,1924.39,2,Severe,1,1,56,1.6,1.5,0
CLM_000322,393,2725.1,1,Moderate,0,0,36,4.2,5.1,0
CLM_000323,27,10962.444700642014,4,Severe,0,0,55,7.9,8.8,1
CLM_000324,1130,4611.67,0,Minor,0,1,38,2.0,3.9,0
CLM_000325,488,149.41,2,Total Loss,0,0,32,5.4,0.1,0
CLM_000326,7,1260.2053169787418,2,Total Loss,0,0,28,3.9,5.6,1
CLM_000327,345,12017.45,0,Total Loss,0,0,20,1.2,8.4,0
CLM_000328,198,2444.99,0,Severe,1,0,26,2.7,1.6,0
CLM_000329,103,1358.86,0,Severe,0,0,18,3.3,0.3,0
CLM_000330,24,953.9771216047488,0,Moderate,1,1,30,0.1,3.6,1
CLM_000331,517,590.16,1,Minor,1,1,57,1.5,0.2,0
CLM_000332,5,143.64,1,Moderate,0,0,44,14.7,2.7,0
CLM_000333,33,6699.37897911228,1,Severe,1,1,39,3.0,0.1,1
CLM_000334,34,1974.0848817532453,6,Total Loss,0,0,34,1.2,1.3,1
CLM_000335,15,699.33,0,Moderate,0,0,43,0.9,2.5,0
CLM_000336,38,4080.225851378535,3,Minor,0,1,45,0.7,0.6,1
CLM_000337,443,5145.9,0,Moderate,1,0,28,1.5,0.6,0
CLM_000338,234,68857.67,0,Total Loss,0,0,51,0.6,8.8,0
CLM_000339,37,308.64,2,Minor,0,1,40,0.4,0.2,0
CLM_000340,246,16967.78,0,Minor,0,0,49,1.4,5.8,0
CLM_000341,234,12831.42,0,Moderate,0,0,44,2.8,8.4,0
CLM_000342,69,926.45,0,Minor,1,1,23,0.5,0.7,0
CLM_000343,207,4043.45,1,Minor,1,1,64,0.1,1.1,0
CLM_000344,185,1500.49,0,Minor,0,1,44,0.1,5.1,0
CLM_000345,349,3938.41,0,Severe,1,0,39,0.9,1.9,0
CLM_000346,367,28672.58,0,Minor,1,0,53,0.6,3.2,0
CLM_000347,16,7393.89,1,Moderate,0,0,27,2.3,9.0,0
CLM_000348,171,6392.7,1,Severe,0,0,21,1.8,0.7,0
CLM_000349,67,4000.4278519484355,4,Total Loss,0,0,53,1.2,4.8,1
CLM_000350,52,702.0346683265391,4,Total Loss,0,1,62,5.4,14.3,1
CLM_000351,708,2180.47,2,Moderate,0,0,49,2.1,0.3,0
CLM_000352,28,32268.71842892732,1,Total Loss,0,0,57,0.3,0.3,1
CLM_000353,64,301.64,0,Minor,0,0,26,1.1,4.0,0
CLM_000354,26,612.39,0,Severe,1,1,39,10.9,16.1,0
CLM_000355,375,3602.57,0,Moderate,1,1,35,11.3,1.2,0
CLM_000356,0,2023.5409762017002,3,Minor,0,1,60,0.9,2.0,1
CLM_000357,321,907.97,1,Moderate,1,0,52,0.5,0.5,0
CLM_000358,1028,1579.09,2,Minor,0,0,60,2.1,2.2,0
CLM_000359,312,384.36,0,Severe,0,0,35,2.0,0.2,0
CLM_000360,179,691.47,0,Minor,0,1,28,1.6,2.5,0
CLM_000361,376,8562.45,0,Moderate,1,0,64,2.3,4.1,0
CLM_000362,223,419.45,1,Minor,1,0,45,0.8,18.4,0
CLM_000363,287,271.29,1,Minor,1,0,60,0.4,8.5,0
CLM_000364,1035,1158.59,0,Total Loss,1,0,44,2.5,8.6,0
CLM_000365,178,8936.8,1,Severe,0,0,78,8.1,1.3,0
CLM_000366,41,5961.366882327849,4,Total Loss,0,0,62,0.4,0.5,1
CLM_000367,110,3515.9957775592393,2,Minor,0,0,42,3.7,4.6,1
CLM_000368,79,3186.05,0,Minor,0,0,45,1.7,3.7,0
CLM_000369,26,217.33,0,Moderate,0,0,45,1.0,3.6,0
CLM_000370,38,6260.77,0,Moderate,0,1,27,5.8,0.6,0
CLM_000371,6,5298.36,0,Minor,0,0,37,1.8,3.4,0
CLM_000372,10,4119.01405945292,5,Severe,0,1,36,2.6,0.8,1
CLM_000373,28,23352.807103471703,0,Minor,0,0,48,1.8,2.7,1
CLM_000374,43,1616.952049742905,0,Minor,0,0,32,0.3,0.3,1
